日期,华泰柏瑞沪深300ETF,南方中证1000ETF,华泰柏瑞上证红利ETF,海富通上证城投债ETF,平安中证5-10年国债活跃券ETF,平安中债债利差因子ETF,沪金主连,十债主连
2019-04-01,3.627,1.985,2.214,7.844,91.393,88.076,282.1,97.45
2019-04-02,3.62,1.996,2.212,7.843,91.393,87.8,282.15,97.255
2019-04-03,3.673,2.012,2.244,7.843,91.283,87.601,282.9,96.75
2019-04-04,3.72,2.023,2.279,7.845,91.073,87.95,282.95,96.46
2019-04-08,3.694,2.004,2.294,7.833,90.798,87.61,284.15,96.68
2019-04-09,3.718,2.012,2.287,7.836,90.774,87.612,284.4,96.5
2019-04-10,3.724,2.006,2.28,7.838,90.774,87.611,285.8,96.705
2019-04-11,3.654,1.963,2.253,7.842,90.846,87.53,286.15,96.85
2019-04-12,3.64,1.968,2.229,7.843,90.633,87.551,283.3,96.645
2019-04-15,3.615,1.952,2.223,7.843,90.679,87.6,281.75,96.37
2019-04-16,3.735,1.993,2.263,7.842,90.432,87.52,281.5,96.165
2019-04-17,3.725,2.012,2.267,7.843,90.274,87.5,280.0,96.42
2019-04-18,3.718,2.001,2.243,7.85,90.273,87.503,278.2,96.48
2019-04-19,3.778,2.02,2.25,7.854,90.518,87.494,279.5,96.39
2019-04-22,3.675,1.993,2.19,7.846,90.367,86.963,280.3,96.22
2019-04-23,3.668,1.957,2.163,7.873,90.363,87.5,279.0,96.32
2019-04-24,3.674,1.982,2.184,7.878,90.313,87.397,278.85,95.91
2019-04-25,3.591,1.9,2.117,7.872,90.36,87.278,280.4,96.09
2019-04-26,3.537,1.878,2.083,7.87,90.303,87.591,281.45,96.37
2019-04-29,3.552,1.81,2.065,7.873,90.223,87.398,281.3,96.2
2019-04-30,3.554,1.829,2.092,7.883,90.291,87.499,281.55,96.675
2019-05-06,3.331,1.675,1.959,7.885,90.651,87.399,282.7,96.84
2019-05-07,3.365,1.706,1.989,7.871,90.682,87.7,282.4,96.765
2019-05-08,3.317,1.703,1.959,7.871,90.715,87.4,283.95,96.905
2019-05-09,3.265,1.686,1.918,7.885,90.748,87.35,284.1,97.08
2019-05-10,3.378,1.755,1.978,7.893,90.643,87.5,284.45,97.14
2019-05-13,3.31,1.736,1.94,7.914,90.748,87.5,289.2,97.41
2019-05-14,3.292,1.727,1.924,7.922,91.073,87.5,292.75,97.29
2019-05-15,3.37,1.768,1.965,7.922,90.992,87.592,291.25,97.315
2019-05-16,3.388,1.779,1.978,7.923,91.093,87.549,292.35,97.38
2019-05-17,3.304,1.719,1.922,7.922,91.273,87.3,291.7,97.44
2019-05-20,3.264,1.711,1.909,7.918,91.093,87.571,289.4,96.88
2019-05-21,3.309,1.744,1.936,7.917,90.973,87.571,289.15,96.64
2019-05-22,3.3,1.741,1.933,7.917,91.123,87.5515,288.9,96.57
2019-05-23,3.242,1.7,1.905,7.919,90.973,87.532,289.35,96.79
2019-05-24,3.248,1.678,1.905,7.923,90.898,87.725,291.1,96.77
2019-05-27,3.291,1.73,1.932,7.924,90.901,87.725,291.25,96.3
2019-05-28,3.308,1.727,1.933,7.932,90.9245,87.818,291.0,96.54
2019-05-29,3.31,1.733,1.936,7.927,90.948,87.564,291.45,96.87
2019-05-30,3.308,1.725,1.936,7.926,91.049,87.5,290.1,96.885
2019-05-31,3.29,1.722,1.931,7.926,91.273,87.549,293.45,96.93
2019-06-03,3.298,1.7,1.919,7.925,91.409,87.501,296.7,97.2
2019-06-04,3.265,1.665,1.909,7.934,91.423,87.33,299.75,97.355
2019-06-05,3.257,1.67,1.92,7.934,91.423,87.528,301.7,97.505
2019-06-06,3.226,1.626,1.893,7.933,91.423,87.514,301.7,97.47
2019-06-10,3.272,1.648,1.917,7.938,91.473,87.516,300.85,97.41
2019-06-11,3.385,1.714,1.977,7.941,91.373,87.4,299.55,97.095
2019-06-12,3.357,1.7,1.959,7.948,91.443,87.4,302.6,97.13
2019-06-13,3.35,1.711,1.95,7.946,91.513,87.4,303.2,97.34
2019-06-14,3.328,1.673,1.926,7.949,91.583,87.876,307.75,97.575
2019-06-17,3.331,1.67,1.934,7.945,91.523,87.871,304.1,97.665
